"","St.1","St.2","St.3","St.4","St.5","St.6","St.7","St.8","St.9","St.10","St.11","St.12","St.13","St.14","St.15","1","2","3","4","5"
"St.1",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"St.2",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.3",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.4",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"St.5",222751,252358,252358,222751,0,0,252358,252358,0,222751,222751,252358,252358,252358,0,0,222751,222751,222751,0
"St.6",222751,252358,252358,222751,0,0,252358,252358,0,222751,222751,252358,252358,252358,0,0,222751,222751,222751,0
"St.7",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.8",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.9",222751,252358,252358,222751,0,0,252358,252358,0,222751,222751,252358,252358,252358,0,0,222751,222751,222751,0
"St.10",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"St.11",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"St.12",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.13",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.14",115344,0,0,115344,252358,252358,0,0,252358,115344,115344,0,0,0,252358,252358,115344,115344,115344,252358
"St.15",222751,252358,252358,222751,0,0,252358,252358,0,222751,222751,252358,252358,252358,0,0,222751,222751,222751,0
"1",222751,252358,252358,222751,0,0,252358,252358,0,222751,222751,252358,252358,252358,0,0,222751,222751,222751,0
"2",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"3",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"4",0,115344,115344,0,222751,222751,115344,115344,222751,0,0,115344,115344,115344,222751,222751,0,0,0,222751
"5",222751,252358,252358,222751,0,0,252358,252358,0,222751,222751,252358,252358,252358,0,0,222751,222751,222751,0
