Station.name,Latitude,Longitude,Array,Section,Type
OB9,57.884983,-152.642217,F,Outer,Hydrophone
OB5,57.88735,-152.662533,E,Outer,Hydrophone
OB1,57.896917,-152.648117,E,Outer,Hydrophone
OB8,57.896667,-152.639167,E,Outer,Hydrophone
IB4,57.879133,-152.6271604,C,Mid,Hydrophone
IB7,57.864267,-152.62275,A,Head,Hydrophone
OB3,57.892683,-152.654533,E,Outer,Hydrophone
OB2,57.895633,-152.650017,E,Outer,Hydrophone
IB6,57.871717,-152.644167,B,Head,Hydrophone
IB2,57.886333,-152.62712,D,Mid,Hydrophone
IB1,57.886117,-152.63167,D,Mid,Hydrophone
OB4,57.890183,-152.658567,E,Outer,Hydrophone
OB6,57.88465,-152.666567,E,Outer,Hydrophone
OB7,57.8823,-152.672133,E,Outer,Hydrophone
IB3,57.879017,-152.632212,C,Mid,Hydrophone
1,57.878183,-152.634683,A|B|C,,Release
2,57.8856,-152.632367,C|D,,Release
3,57.881517,-152.625983,C|D,,Release
4,57.882867,-152.6263,C|D,,Release
5,57.87584,-152.6289261,A|B|C,,Release
